site_name,sample_date,censored_value
Fish Hoek,2023-01-05T00:00:00Z,1
Fish Hoek,2023-01-11T00:00:00Z,1
Fish Hoek,2023-01-17T00:00:00Z,1
Fish Hoek,2023-01-25T00:00:00Z,1
Fish Hoek,2023-02-01T00:00:00Z,1
Fish Hoek,2023-11-29T00:00:00Z,2
Fish Hoek,2023-12-07T00:00:00Z,1
Fish Hoek,2023-12-14T00:00:00Z,1
Fish Hoek,2023-12-20T00:00:00Z,2
Fish Hoek,2024-01-04T00:00:00Z,42
Fish Hoek,2024-01-10T00:00:00Z,2
Fish Hoek,2024-01-17T00:00:00Z,9
Fish Hoek,2024-01-24T00:00:00Z,1
Fish Hoek,2024-01-31T00:00:00Z,5
Fish Hoek,2024-11-21T00:00:00Z,1
Fish Hoek,2024-12-02T00:00:00Z,11
Fish Hoek,2024-12-20T00:00:00Z,39
Fish Hoek,2025-01-08T00:00:00Z,23
Fish Hoek,2025-01-15T00:00:00Z,12
Fish Hoek,2025-01-22T00:00:00Z,11
Fish Hoek,2025-01-29T00:00:00Z,14
Llandudno,2021-11-23T00:00:00Z,1
Llandudno,2021-12-01T00:00:00Z,1
Llandudno,2021-12-08T00:00:00Z,1
Llandudno,2021-12-14T00:00:00Z,1
Llandudno,2021-12-22T00:00:00Z,2
Llandudno,2022-01-04T00:00:00Z,2
Llandudno,2022-01-12T00:00:00Z,1
Llandudno,2022-01-20T00:00:00Z,4
Llandudno,2022-01-26T00:00:00Z,1
Llandudno,2022-11-29T00:00:00Z,1
Llandudno,2022-12-07T00:00:00Z,1
Llandudno,2022-12-14T00:00:00Z,8
Llandudno,2022-12-20T00:00:00Z,3
Llandudno,2023-01-04T00:00:00Z,1
Llandudno,2023-01-10T00:00:00Z,13
Llandudno,2023-01-18T00:00:00Z,1
Llandudno,2023-01-24T00:00:00Z,>150
Llandudno,2023-01-27T00:00:00Z,1
Llandudno,2023-01-31T00:00:00Z,2
Llandudno,2023-11-28T00:00:00Z,1
